id,topic,source,text,replyCount,vaderMean,vaderStd,vaderCatLabel,vaderCat
1377385383168765952,[],FoxNews,activists protest renaming chicago school after  oppressor  barack obama,314,-0.057063375796178366,0.44653857361695487,medium,1.0
1377384607969013765,[],FoxNews,border patrol video shows smugglers abandoning  year old   year old at the border,116,-0.05085258620689657,0.48603626711365405,medium,1.0
1377384339105669122,[],FoxNews,cause of tiger woods  car crash determined  but truth may never be revealed,176,-0.036392613636363626,0.43319087591234107,medium,1.0
1377367836046192641,[],FoxNews,gop rep urges hhs to halt reported plan to release child migrants before background checks completed,80,0.05551125,0.4868893500980732,medium,1.0
1377358399759785987,[],FoxNews,some democrats trying to stop iowa  new hampshire from voting first in ,98,-0.027379591836734683,0.4297658480094662,medium,1.0
1377356165089218562,[],FoxNews,dem rita hart backs down in iowa election challenge to miller meeks amid mounting gop pressure,29,-0.007155172413793114,0.447489757732914,medium,1.0
1377353655238725632,[],FoxNews,exclusive  mccarthy releases fundraising numbers in effort for gop to win back house,76,0.045294736842105256,0.4369374505638801,medium,1.0
1377340802058182659,[],FoxNews,kamala harris has gone  days since being tapped for border crisis role without a press conference,682,-0.027452199413489694,0.42622927172237024,medium,1.0
1377339060977463296,[],FoxNews,could biden face consequences for first dog major s biting problem ,822,-0.06337980535279807,0.41925357532159174,medium,1.0
1377319049487642625,[],FoxNews,trump  moving forward  with plans to start social media platform  sources say,1159,0.010749698015530627,0.45444515154891474,medium,1.0
1377316510939684883,[],FoxNews,san diego teachers given option to teach migrant kids in person instead of us students,315,-0.049913333333333317,0.4667851054419158,medium,1.0
1377303808800399365,[],FoxNews,cnn mocked for fawning over biden s infrastructure plan with  analysis  claiming it s a window into his  soul ,268,-0.033925746268656666,0.45169356285861045,medium,1.0
1377297060119113731,[],FoxNews,sen  cruz on trip to packed border facilities  we saw a  manmade  humanitarian disaster,339,-0.07854306784660764,0.4592294579004906,medium,1.0
1377286677358637065,[],FoxNews,nyc asian woman s suspected attacker was paroled after murdering his mother  sources say,198,-0.21637828282828278,0.4946413026193172,medium,1.0
1377280058088361984,[],FoxNews,coronavirus third leading cause of death in   cdc report finds,178,-0.18322696629213486,0.48044393895412,medium,1.0
1377276608210436096,[],FoxNews,cnn raises eyebrows by claiming  there is no consensus criteria for assigning sex at birth  in news report,285,-0.08289473684210524,0.4151565868767245,medium,1.0
1377270837296914437,[],FoxNews,biden expected to allow trump era guest worker pause to expire,38,-0.10040789473684208,0.46691442087654045,medium,1.0
1377265684221153284,[],FoxNews,facebook removes video of trump interview with daughter in law lara trump,551,-0.017066243194192345,0.47393334823316385,medium,1.0
1377262958372356097,[],FoxNews,mark hamill  hollywood stars say they won t work in georgia due to new voting legislation,3753,0.04129997335464944,0.45364418545992485,medium,1.0
1377260767460913153,[],FoxNews,gov  kemp slams left s  outrageous  claims on georgia election law   hypocrisy running rampant ,313,-0.0958019169329074,0.47612674836553137,medium,1.0
1377254054196305921,[],FoxNews,minister sues pelosi  harris for access to capitol grounds for good friday,111,0.02006396396396397,0.4263889610955521,medium,1.0
1377245519882416132,[],FoxNews,live updates  derek chauvin trial resumes as minneapolis firefighter who witnessed george floyd arrest returns,161,-0.25369875776397544,0.5023078162326834,high,2.0
1377242569051095043,[],FoxNews,christian minister sues pelosi  harris for access to capitol grounds for good friday,199,0.03488994974874375,0.439666736852405,medium,1.0
1377227241881538564,[],FoxNews,pfizer says covid  vaccine   effective  safe in kids as young as ,133,0.0015812030075187872,0.42302248187809044,medium,1.0
1377219786971754497,[],FoxNews,rnc launches major campaign blitz to block democrats  election reform push,102,0.3058205882352942,0.592320270327831,high,2.0
1377212254056292355,[],FoxNews,texas gov  abbott writes to vp kamala harris  demanding answers on border crisis,660,-0.04486848484848489,0.461132668220633,medium,1.0
1377204394614198275,[],FoxNews,biden grants michigans whitmer k more vaccine doses  in seeming shift from population based us plan  report,125,-0.05541999999999998,0.4379511143362775,medium,1.0
